"titles","year","imdb_rating","num_votes","genre","film_rating","director","lead_actor","gross","max_theaters","opening_gross","opening_weekend_perc","opening_theaters","open_date","close_date","Race","Race_Specific"
"Ingrid Goes West","2017",6.6,37000,"Adventure","R","Matt Spicer","Aubrey Plaza",3024308,3,135301,"4.5",3,"2017-05-01","2017-05-01","POC","Hispanic"
"The Oscar Nominated Short Films 2017: Animation","2017",7.2,189,"Adventure","PG-13","Nicki Bluhm","Caroline Dhavernas",NA,NA,NA,NA,NA,NA,NA,"Not POC","White"
"Thoroughbreds","2017",6.7,36508,"Adventure","R","Cory Finley","Olivia Cooke",3072605,2375,1224430,"39.8",2375,"2018-10-01","2018-10-01","Not POC","White"
"Wolf Warrior 2","2017",6,6992,"Adventure","Not Rated","Jing Wu","Jing Wu",2721100,4003,219022,"8",4003,"2017-09-01","2017-09-01","Not POC","White"
"Is Genesis History?","2017",4.2,1486,"Adventure","Not Rated","Thomas Purifoy","Del Tackett",2570392,3031,0,"0",3031,"2017-11-01","2017-11-01","Not POC","White"
"Is Genesis History?","2017",4.2,1486,"Adventure","Not Rated","Thomas Purifoy","Del Tackett",166763,123,0,"0",123,"2018-03-01","2018-03-01","Not POC","White"
"My Cousin Rachel","2017",6,17915,"Adventure","PG-13","Roger Michell","Rachel Weisz",2716368,2931,969941,"35.7",2931,"2017-02-01","2017-02-01","Not POC","White"
"A Question of Faith","2017",5.9,982,"Adventure","PG","Kevan Otto","Richard T. Jones",2587072,3031,1025489,"39.6",3031,"2017-08-01","2017-08-01","Not POC","White"
"Do It Like An Hombre","2017",5.6,1132,"Adventure","R","Nicolás López","Mauricio Ochmann",2534252,3104,1174484,"46.3",3104,"2017-01-01","2017-01-01","Not POC","White"
"You Were Never Really Here","2017",6.8,106689,"Adventure","R","Lynne Ramsay","Joaquin Phoenix",2528078,2464,132829,"5.3",2464,"2018-03-01","2018-03-01","POC","Hispanic"
"Tulip Fever","2017",6.2,18905,"Adventure","R","Justin Chadwick","Alicia Vikander",2455635,3134,1158017,"47.2",3134,"2017-06-01","2017-06-01","Not POC","White"
"The Rider","2017",7.4,15132,"Adventure","R","Chloé Zhao","Brady Jandreau",2419031,2504,42244,"1.7",2504,"2018-09-01","2018-09-01","Not POC","White"
"Mary and the Witch's Flower","2017",6.8,12424,"Adventure","PG","Hiromasa Yonebayashi","Giles New",2418404,2504,348475,"14.4",2504,"2018-11-01","2018-11-01","Not POC","White"
"T2 Trainspotting","2017",7.2,115311,"Adventure","R","Danny Boyle","Ewan McGregor",2402004,2123,170575,"7.1",2123,"2017-12-01","2017-12-01","Not POC","White"
"Pokémon the Movie: I Choose You!","2017",6.3,5958,"Adventure","PG","Kunihiko Yuyama","Unshô Ishizuka",2401722,2074,0,"0",2074,"2017-03-01","2017-03-01","Not POC","White"
"Papillon","2017",7.2,58672,"Adventure","R","Michael Noer","Charlie Hunnam",2335896,2859,1090073,"46.7",2859,"2018-11-01","2018-11-01","Not POC","White"
"The Killing of a Sacred Deer","2017",7,127462,"Adventure","R","Yorgos Lanthimos","Barry G. Bernson",2291901,2668,115120,"5",2668,"2017-12-01","2017-12-01","Not POC","White"
"Jeepers Creepers III","2017",3.9,17650,"Adventure","Not Rated","Victor Salva","Stan Shaw",2335162,2215,19151,"0.8",2215,"2017-04-01","2017-04-01","Not POC","White"
"The Lovers","2017",6.1,3487,"Adventure","R","Azazel Jacobs","Debra Winger",2194521,2220,66286,"3",2220,"2017-01-01","2017-01-01","Not POC","White"
"Brad's Status","2017",6.5,16185,"Adventure","R","Mike White","Ben Stiller",2133158,1060,89921,"4.2",1060,"2017-09-01","2017-09-01","Not POC","White"
"Good Time","2017",7.4,94427,"Adventure","R","Benny Safdie","Josh Safdie",2026499,4,125101,"6.2",4,"2017-01-01","2017-01-01","Not POC","White"
"A Fantastic Woman","2017",7.2,23109,"Adventure","R","Sebastián Lelio","Daniela Vega",2020988,2220,64241,"3.2",2220,"2018-06-01","2018-06-01","Not POC","White"
"Badrinath Ki Dulhania","2017",6.1,10548,"Adventure","Not Rated","Shashank Khaitan","Varun Dhawan",1993259,3162,862008,"43.2",3162,"2017-06-01","2017-06-01","Not POC","White"
"Indian Horse","2017",7.2,1532,"Adventure","Not Rated","Stephen S. Campanelli","Sladen Peltier",2097362,2125,0,"0",2125,"2018-03-01","2018-03-01","Not POC","White"
"Everybody Loves Somebody","2017",6.5,3822,"Adventure","PG-13","Catalina Aguilar Mastretta","Karla Souza",1915789,3162,924201,"48.2",3162,"2017-08-01","2017-08-01","POC","Hispanic"
"Along With the Gods: The Two Worlds","2017",7.3,12475,"Adventure","Not Rated","Yong-hwa Kim","Jung-woo Ha",1908823,2528,185546,"9.7",2528,"2017-10-01","2017-10-01","Not POC","White"
"Youth","2017",7.1,2678,"Adventure","Not Rated","Xiaogang Feng","Xuan Huang",1891956,2528,338604,"17.9",2528,"2017-12-01","2017-12-01","Not POC","White"
"Toilet: A Love Story","2017",7.2,18341,"Adventure","Not Rated","Shree Narayan Singh","Anupam Kher",1830715,2575,678436,"37.1",2575,"2017-12-01","2017-12-01","Not POC","White"
"The Wall","2017",6.2,24509,"Adventure","R","Doug Liman","Aaron Taylor-Johnson",1803064,1186,897955,"49.8",1186,"2017-12-01","2017-12-01","Not POC","White"
"The Last Word","2017",6.7,7517,"Adventure","R","Mark Pellington","Shirley MacLaine",1783421,1010,31630,"1.8",1010,"2017-12-01","2017-12-01","Not POC","White"
"Goodbye Christopher Robin","2017",7.1,25096,"Adventure","PG","Simon Curtis","Domhnall Gleeson",1735251,19,57917,"3.3",19,"2017-03-01","2017-03-01","Not POC","White"
"Jane","2017",7.8,4640,"Adventure","PG","Brett Morgen","Jane Goodall",1723379,1803,58348,"3.4",1803,"2017-01-01","2017-01-01","Not POC","White"
"Menashe","2017",6.5,2015,"Adventure","PG","Joshua Z Weinstein","Menashe Lustig",1703036,1803,62078,"3.6",1803,"2017-03-01","2017-03-01","Not POC","White"
"Slamma Jamma","2017",6.3,1424,"Adventure","PG","Timothy A. Chey","Chris Staples",1687000,3157,1687000,"0",3157,"2017-08-01","2017-08-01","Not POC","White"
"The Little Hours","2017",5.8,20673,"Adventure","R","Jeff Baena","Alison Brie",1647175,425,56676,"3.4",425,"2017-04-01","2017-04-01","Not POC","White"
"Jolly LLB 2","2017",7.2,22429,"Adventure","Not Rated","Subhash Kapoor","Akshay Kumar",1654254,3163,774355,"46.8",3163,"2017-06-01","2017-06-01","Not POC","White"
"A Ghost Story","2017",6.9,62075,"Adventure","R","David Lowery","Casey Affleck",1596371,425,104030,"6.5",425,"2017-05-01","2017-05-01","Not POC","White"
"Professor Marston & the Wonder Women","2017",7.1,23692,"Adventure","R","Angela Robinson","Luke Evans",1584759,2464,736883,"46.5",2464,"2017-03-01","2017-03-01","Not POC","White"
"The Stray","2017",5.5,1007,"Adventure","PG","Mitch Davis","Michael Cassidy",1579440,2464,596547,"37.8",2464,"2017-05-01","2017-05-01","Not POC","White"
"A Taxi Driver","2017",7.9,17271,"Adventure","Not Rated","Hun Jang","Kang-ho Song",1527829,2577,331854,"21.7",2577,"2017-02-01","2017-02-01","Not POC","White"
"The Square","2017",7.2,56855,"Adventure","R","Ruben Östlund","Claes Bang",1502347,2368,74233,"4.9",2368,"2017-09-01","2017-09-01","Not POC","White"
"Genesis: Paradise Lost","2017",5.3,616,"Adventure","PG","Ralph Strean","Andrew J. Fabich",1575000,2577,0,"0",2577,"2017-10-01","2017-10-01","Not POC","White"
"Judwaa 2","2017",3.7,9219,"Adventure","TV-14","David Dhawan","Varun Dhawan",1431255,1057,638045,"44.6",1057,"2017-03-01","2017-03-01","Not POC","White"
"Finding Your Feet","2017",6.7,5794,"Adventure","PG-13","Richard Loncraine","Imelda Staunton",1418682,1427,60132,"4.2",1427,"2018-01-01","2018-01-01","Not POC","White"
"Wonder Wheel","2017",6.2,25854,"Adventure","PG-13","Woody Allen","Justin Timberlake",1404061,2902,125570,"8.9",2902,"2017-12-01","2017-12-01","Not POC","White"
"My Friend Dahmer","2017",6.2,16768,"Adventure","R","Marc Meyers","Ross Lynch",1361611,2902,35545,"2.6",2902,"2017-02-01","2017-02-01","Not POC","White"
"The Bookshop","2017",6.5,13294,"Adventure","PG","Isabel Coixet","Emily Mortimer",1588150,1050,75736,"4.8",1050,"2018-07-01","2018-07-01","Not POC","White"
"The Dinner","2017",4.5,7946,"Adventure","R","Oren Moverman","Michael Chernus",1323312,1461,653944,"49.4",1461,"2017-08-01","2017-08-01","Not POC","White"
"Jab Harry Met Sejal","2017",5.3,18885,"Adventure","Not Rated","Imtiaz Ali","Shah Rukh Khan",1664648,3163,1284740,"77.2",3163,"2017-04-01","2017-04-01","Not POC","White"
"Churchill","2017",6.1,12206,"Adventure","PG","Jonathan Teplitzky","Brian Cox",1281258,2552,408891,"31.9",2552,"2017-09-01","2017-09-01","Not POC","White"
"Maria By Callas","2017",7.2,1624,"Documentary","PG","Tom Volf","Fanny Ardant",1267301,1018,91915,"7.3",1018,"2018-12-01","2018-12-01","Not POC","White"
"3 idiotas","2017",4.3,888,"Documentary","PG-13","Carlos Bolado","Martha Higareda",1249233,20,609249,"48.8",20,"2017-10-01","2017-10-01","POC","Hispanic"
"The Sense of an Ending","2017",6.3,6095,"Documentary","PG-13","Ritesh Batra","Jim Broadbent",1274420,2552,39692,"3.1",2552,"2017-11-01","2017-11-01","Not POC","White"
"Steve McQueen: American Icon","2017",7.1,162,"Documentary","Not Rated","Jon Erwin","Ben Smallbone",1229782,1174,0,"0",1174,"2017-06-01","2017-06-01","Not POC","White"
"33 & Beyond: The Royal Art of Freemasonry","2017",8.3,88,"Documentary","90 min","Johnny Royal","Johnny Royal",16533,51,0,"0",51,"2017-08-01","2017-08-01","Not POC","White"
"Lean on Pete","2017",7.2,11541,"Documentary","R","Andrew Haigh","Charlie Plummer",1163056,5,46975,"4",5,"2018-10-01","2018-10-01","Not POC","White"
"The Trip to Spain","2017",6.6,5503,"Documentary","Unrated","Michael Winterbottom","Steve Coogan",1157604,2533,40875,"3.5",2533,"2017-06-01","2017-06-01","Not POC","White"
"Step","2017",6.8,843,"Documentary","PG","Amanda Lipitz","Gari McIntyre",1146292,2533,146488,"12.8",2533,"2017-09-01","2017-09-01","Not POC","White"
"Viceroy's House","2017",6.7,7019,"Documentary","Not Rated","Gurinder Chadha","Hugh Bonneville",1105717,1508,48134,"4.4",1508,"2017-07-01","2017-07-01","Not POC","White"
"The Dawn Wall","2017",8.1,15622,"Documentary","Not Rated","Josh Lowell","Peter Mortimer",970032,2173,0,"0",2173,"2018-03-01","2018-03-01","Not POC","White"
"The Dawn Wall","2017",8.1,15622,"Documentary","Not Rated","Josh Lowell","Peter Mortimer",112191,69,21615,"19.3",69,"2018-05-01","2018-05-01","Not POC","White"
"Wonderstruck","2017",6.2,9583,"Documentary","PG","Todd Haynes","Oakes Fegley",1060377,1956,65882,"6.2",1956,"2017-09-01","2017-09-01","Not POC","White"
"Film Stars Don't Die in Liverpool","2017",6.7,8766,"Documentary","R","Paul McGuigan","Annette Bening",1026124,1115,36048,"0",1115,"2017-04-01","2017-04-01","Not POC","White"
"Columbus","2017",7.2,14710,"Documentary","Not Rated","Kogonada","John Cho",1017107,21,26820,"2.6",21,"2017-12-01","2017-12-01","POC","Asian"
"Grow House","2017",4.7,323,"Documentary","R","DJ Pooh","Malcolm McDowell",NA,NA,NA,NA,NA,NA,NA,"Not POC","White"
"Perfect Strangers","2017",6.9,12522,"Documentary","97 min","Álex de la Iglesia","Belén Rueda",1014507,2138,422656,"41.7",2138,"2019-04-01","2019-04-01","Not POC","White"
"Golmaal Again","2017",5,8227,"Documentary","Not Rated","Rohit Shetty","Ajay Devgn",1013893,2346,1013893,"100",2346,"2017-04-01","2017-04-01","Not POC","White"
"1945","2017",7.1,3439,"Documentary","91 min","Ferenc Török","Péter Rudolf",1006193,1669,20365,"2",1669,"2017-11-01","2017-11-01","Not POC","White"
"The Insult","2017",7.7,15051,"Documentary","R","Ziad Doueiri","Adel Karam",1001305,1707,24957,"0",1707,"2018-04-01","2018-04-01","Not POC","White"
"Last Flag Flying","2017",6.9,23076,"Documentary","R","Richard Linklater","Bryan Cranston",965481,4,40558,"4.2",4,"2017-02-01","2017-02-01","Not POC","White"
"Lucky","2017",7.4,20115,"Documentary","Not Rated","John Carroll Lynch","Harry Dean Stanton",955925,2417,43293,"4.5",2417,"2017-04-01","2017-04-01","Not POC","White"
"Faces Places","2017",7.9,11091,"Documentary","PG","JR","Agnès Varda",953717,2417,31006,"3.3",2417,"2017-06-01","2017-06-01","Not POC","White"
"Landline","2017",6.4,4183,"Documentary","R","Gillian Robespierre","Jenny Slate",940854,941,52555,"5.6",941,"2017-06-01","2017-06-01","Not POC","White"
"Tubelight","2017",3.9,14580,"Documentary","Not Rated","Kabir Khan","Salman Khan",930058,4,930058,"100",4,"2017-08-01","2017-08-01","Not POC","White"
"Journey to the West: The Demons Strike Back","2017",5.4,2744,"Documentary","PG-13","Hark Tsui","Kris Wu",880346,821,463883,"52.7",821,"2017-10-01","2017-10-01","Not POC","White"
"The Cakemaker","2017",7.2,4136,"Documentary","Not Rated","Ofir Raul Graizer","Tim Kalkhof",875751,1546,33384,"3.8",1546,"2018-08-01","2018-08-01","Not POC","White"
"Let the Sunshine In","2017",6,6121,"Documentary","Not Rated","Claire Denis","Juliette Binoche",892421,1046,39699,"4.4",1046,"2018-05-01","2018-05-01","Not POC","White"
"The Ex-File 3: The Return of The Exes","2017",5.6,398,"Documentary","PG-13","Yusheng Tian","Geng Han",838959,2054,125291,"14.9",2054,"2017-11-01","2017-11-01","Not POC","White"
"Bombshell: The Hedy Lamarr Story","2017",7.4,3393,"Documentary","88 min","Alexandra Dean","Hedy Lamarr",820300,2077,8000,"0",2077,"2017-02-01","2017-02-01","Not POC","White"
"Beast","2017",6.8,10951,"Documentary","R","Michael Pearce","Jessie Buckley",800365,4,53248,"6.7",4,"2018-07-01","2018-07-01","Not POC","White"
"Patti Cake$","2017",6.8,9603,"Documentary","R","Geremy Jasper","Sahr Ngaujah",800148,2077,67599,"8.4",2077,"2017-04-01","2017-04-01","Not POC","White"
"Mark Felt: The Man Who Brought Down the White House","2017",6.4,12102,"Documentary","PG-13","Peter Landesman","Liam Neeson",768946,4,34217,"4.4",4,"2017-07-01","2017-07-01","Not POC","White"
"Mubarakan","2017",5.5,3518,"Documentary","PG-13","Anees Bazmee","Anil Kapoor",758868,2251,310170,"40.9",2251,"2017-04-01","2017-04-01","Not POC","White"
"The Party","2017",6.6,17285,"Documentary","R","Sally Potter","Timothy Spall",749827,2023,37396,"5",2023,"2018-04-01","2018-04-01","Not POC","White"
"On Chesil Beach","2017",6.3,10029,"Documentary","R","Dominic Cooke","Billy Howle",745971,4,35765,"4.8",4,"2018-02-01","2018-02-01","Not POC","White"
"Walk With Me","2017",6.3,888,"Documentary","94 min","Marc J. Francis","Max Pugh",726726,2251,9932,"1.4",2251,"2017-05-01","2017-05-01","Not POC","White"
"May it Last: A Portrait of the Avett Brothers","2017",8.2,620,"Documentary","Not Rated","Judd Apatow","Michael Bonfiglio",725286,2704,9616,"1.3",2704,"2017-02-01","2017-02-01","Not POC","White"
"Shubh Mangal Savdhan","2017",6.9,8859,"Documentary","Not Rated","R.S. Prasanna","Ayushmann Khurrana",689874,2166,259999,"37.7",2166,"2017-03-01","2017-03-01","Not POC","White"
"Wilson","2017",5.8,9912,"Documentary","R","Craig Johnson","Woody Harrelson",653951,43,336227,"51.4",43,"2017-06-01","2017-06-01","Not POC","White"
"The Only Living Boy in New York","2017",6.3,12262,"Documentary","R","Marc Webb","Callum Turner",624332,5,54458,"8.7",5,"2017-10-01","2017-10-01","Not POC","White"
"Foxtrot","2017",7.3,6751,"Documentary","R","Samuel Maoz","Lior Ashkenazi",618883,2402,31629,"5.1",2402,"2018-05-01","2018-05-01","Not POC","White"
"Itzhak","2017",7.4,262,"Documentary","Not Rated","Alison Chernick","Itzhak Perlman",607290,1667,14350,"2.4",1667,"2018-03-01","2018-03-01","Not POC","White"
"The Midwife","2017",6.7,2565,"Documentary","Unrated","Martin Provost","Catherine Deneuve",603582,1618,21341,"3.5",1618,"2017-09-01","2017-09-01","Not POC","White"
"Novitiate","2017",6.7,3905,"Documentary","R","Maggie Betts","Melissa Leo",580346,1,22724,"3.9",1,"2017-03-01","2017-03-01","Not POC","White"
"Battle of Memories","2017",6.5,928,"Documentary","119 min","Leste Chen","Bo Huang",594552,218,224942,"37.8",218,"2017-09-01","2017-09-01","Not POC","White"
"Loveless","2017",7.6,30203,"Documentary","R","Andrey Zvyagintsev","Maryana Spivak",566356,535,30222,"5.3",535,"2018-09-01","2018-09-01","Not POC","White"
"Samaritan's Purse presents Facing Darkness","2017",7.3,82,"Documentary","Unrated","Arthur Rasco","Franklin Graham",555533,1362,0,"0",1362,"2017-10-01","2017-10-01","Not POC","White"
"Dolores","2017",7.1,297,"Documentary","Not Rated","Peter Bratt","Dolores Huerta",555309,1362,13534,"2.4",1362,"2017-02-01","2017-02-01","Not POC","White"
"Anna and the Apocalypse","2017",6,11031,"Documentary","R","John McPhail","Ella Hunt",545597,2141,52588,"9.6",2141,"2018-09-01","2018-09-01","Not POC","White"
"Brigsby Bear","2017",7.3,15646,"Comedy","PG-13","Dave McCary","Kyle Mooney",532669,365,39652,"7.4",365,"2017-05-01","2017-05-01","Not POC","White"
"Human Flow","2017",7.1,2419,"Comedy","PG-13","Weiwei Ai","Israa Abboud",527845,295,45677,"8.7",295,"2017-06-01","2017-06-01","Not POC","White"
"Fireworks","2017",5.6,2681,"Comedy","90 min","Akiyuki Shinbo","Nobuyuki Takeuchi",525280,5,138014,"26.3",5,"2018-05-01","2018-05-01","Not POC","White"
"The Children Act","2017",6.7,11533,"Comedy","R","Richard Eyre","Stanley Tucci",547750,2141,76108,"13.9",2141,"2018-08-01","2018-08-01","Not POC","White"
"Jagga Jasoos","2017",6.5,9247,"Comedy","TV-14","Anurag Basu","Ranbir Kapoor",861740,2083,490232,"56.9",2083,"2017-10-01","2017-10-01","Not POC","White"
"Breathe","2017",7.2,19586,"Comedy","PG-13","Andy Serkis","Andrew Garfield",490131,2161,22285,"4.5",2161,"2017-01-01","2017-01-01","Not POC","White"
"Once Upon A Time","2017",5.2,1240,"Comedy","109 min","Anthony LaMolinara","Xiaoding Zhao",485728,229,249933,"51.5",229,"2017-10-01","2017-10-01","Not POC","White"
"Gongjo","2017",6.6,2668,"Comedy","Not Rated","Sung-hoon Kim","Hyun Bin",NA,NA,NA,NA,NA,NA,NA,"Not POC","White"
"Beach Rats","2017",6.4,12849,"Comedy","R","Eliza Hittman","Harris Dickinson",473771,846,46451,"9.8",846,"2017-08-01","2017-08-01","Not POC","White"
"Cheng feng po lang","2017",6.5,1221,"Comedy","102 min","Han Han","Chao Deng",NA,NA,NA,NA,NA,NA,NA,"Not POC","White"
"Final Portrait","2017",6.3,5123,"Comedy","R","Stanley Tucci","Geoffrey Rush",461972,270,25472,"5.5",270,"2018-12-01","2018-12-01","Not POC","White"
"Scotty and the Secret History of Hollywood","2017",6.6,1156,"Comedy","Unrated","Matt Tyrnauer","Scotty Bowers",461689,3,28144,"6.1",3,"2018-04-01","2018-04-01","Not POC","White"
"Phillauri","2017",6.1,3521,"Comedy","138 min","Anshai Lal","Anushka Sharma",467596,2046,260982,"55.8",2046,"2017-11-01","2017-11-01","Not POC","White"
"Chasing the Dragon","2017",6.8,3528,"Comedy","128 min","Jason Kwan","Jing Wong",456854,720,138346,"30.3",720,"2017-11-01","2017-11-01","Not POC","White"
"Condorito: The Movie","2017",5.2,784,"Comedy","PG","Alex Orrelle","Eduardo Schuldt",447719,3,248456,"55.5",3,"2018-07-01","2018-07-01","Not POC","White"
"Song to Song","2017",5.7,19182,"Comedy","R","Terrence Malick","Ryan Gosling",443684,447,50559,"11.4",447,"2017-05-01","2017-05-01","Not POC","White"
"A Gentleman","2017",6.2,5021,"Comedy","Not Rated","Krishna D.K.","Raj Nidimoru",410055,299,191530,"46.7",299,"2017-12-01","2017-12-01","Not POC","White"
"A Bag of Marbles","2017",7.3,4945,"Comedy","Not Rated","Christian Duguay","Dorian Le Clech",411318,629,14420,"3.5",629,"2018-12-01","2018-12-01","Not POC","White"
"Love, Kennedy","2017",6.7,455,"Comedy","PG","T.C. Christensen","Jasen Wade",407871,299,45285,"11.1",299,"2017-01-01","2017-01-01","Not POC","White"
"The Invisibles","2017",7.2,1183,"Comedy","110 min","Claus Räfle","Max Mauff",407373,2,27164,"6.7",2,"","","Not POC","White"
"The Night Is Short, Walk on Girl","2017",7.6,3992,"Comedy","PG-13","Masaaki Yuasa","Gen Hoshino",406490,369,18302,"4.5",369,"2018-08-01","2018-08-01","Not POC","White"
"The Gospel According to André","2017",6.5,421,"Comedy","PG-13","Kate Novack","André Leon Talley",400713,2609,47802,"11.9",2609,"2018-09-01","2018-09-01","Not POC","White"
"Leaning Into The Wind","2017",6.7,374,"Comedy","PG","Thomas Riedelsheimer","Andy Goldsworthy",400530,2609,24840,"6.2",2609,"","","Not POC","White"
"Tom of Finland","2017",6.8,5451,"Comedy","Not Rated","Dome Karukoski","Pekka Strang",378296,579,13524,"3.6",579,"2017-08-01","2017-08-01","Not POC","White"
"Tom of Finland","2017",6.8,5451,"Comedy","Not Rated","Dome Karukoski","Pekka Strang",3314,360,1006,"30.4",360,"2018-06-01","2018-06-01","Not POC","White"
"Rebel in the Rye","2017",6.7,8548,"Comedy","PG-13","Danny Strong","Nicholas Hoult",378294,645,37967,"10",645,"2017-09-01","2017-09-01","Not POC","White"
"Oh Lucy!","2017",6.8,2841,"Comedy","95 min","Atsuko Hirayanagi","Shinobu Terajima",375391,830,14569,"3.9",830,"2018-01-01","2018-01-01","Not POC","White"
"Grace Jones: Bloodlight and Bami","2017",6.2,1030,"Comedy","115 min","Sophie Fiennes","Grace Jones",375208,272,56171,"15",272,"2018-02-01","2018-02-01","POC","Black"
"Kung Fu Yoga","2017",5.2,9161,"Comedy","Not Rated","Stanley Tong","Jackie Chan",362657,447,111979,"30.9",447,"2017-06-01","2017-06-01","POC","Asian"
"Pearl Jam: Let's Play Two","2017",8.4,635,"Comedy","Not Rated","Danny Clinch","Pearl Jam",348833,4,53177,"15.2",4,"2017-05-01","2017-05-01","Not POC","White"
"OK Jaanu","2017",5.2,3803,"Comedy","Not Rated","Shaad Ali","Aditya Roy Kapoor",355922,565,225968,"63.5",565,"2017-06-01","2017-06-01","Not POC","White"
"God's Own Country","2017",7.7,25923,"Comedy","Not Rated","Francis Lee","Josh O'Connor",335609,2573,17768,"5.3",2573,"2017-09-01","2017-09-01","Not POC","White"
"This Is Not What I Expected","2017",6.7,1397,"Comedy","TV-PG","Derek Hui","Takeshi Kaneshiro",337670,5,135252,"40.1",5,"2017-07-01","2017-07-01","Not POC","White"
"Shine","2017",4.9,187,"Comedy","R","Anthony Nardolillo","Musetta Vander",333388,2007,205842,"61.7",2007,"2018-05-01","2018-05-01","Not POC","White"
"Flower","2017",6,7558,"Comedy","R","Max Winkler","Zoey Deutch",328188,838,48919,"14.9",838,"2018-04-01","2018-04-01","Not POC","White"
"In the Fade","2017",7.1,29465,"Comedy","R","Fatih Akin","Numan Acar",321011,2573,10455,"3.3",2573,"2017-11-01","2017-11-01","Not POC","White"
"City Of Rock","2017",6.1,504,"Comedy","117 min","Chengpeng Dong","Chengpeng Dong",312537,4,115524,"37",4,"2017-06-01","2017-06-01","Not POC","White"
"The Breadwinner","2017",7.7,21423,"Comedy","PG-13","Nora Twomey","Saara Chaudry",312381,1626,17395,"5.6",1626,"2017-04-01","2017-04-01","Not POC","White"
"The Breadwinner","2017",7.7,21423,"Comedy","PG-13","Nora Twomey","Saara Chaudry",834,19,834,"100",19,"2018-05-01","2018-05-01","Not POC","White"
"Happy End","2017",6.7,13522,"Comedy","R","Michael Haneke","Isabelle Huppert",301718,4,23091,"7.7",4,"2017-09-01","2017-09-01","Not POC","White"
"Demons","2017",4.4,607,"Comedy","Not Rated","Miles Doleac","Andrew Divoff",2900,46,1202,"41.4",46,"2017-06-01","2017-06-01","Not POC","White"
"Ittefaq","2017",7.2,10474,"Comedy","Not Rated","Abhay Chopra","Sidharth Malhotra",298032,562,298032,"100",562,"2017-09-01","2017-09-01","Not POC","White"
"Buddies in India","2017",3.7,282,"Comedy","Unrated","Baoqiang Wang","Baoqiang Wang",293194,562,181705,"62",562,"2017-11-01","2017-11-01","Not POC","White"
"Son of Bigfoot","2017",6.1,5894,"Comedy","PG","Jeremy Degruson","Ben Stassen",289308,0,0,"0",0,"2018-01-01","2018-01-01","Not POC","White"
"The Black Prince","2017",6.6,904,"Comedy","PG-13","Kavi Raz","Jason Flemyng",NA,NA,NA,NA,NA,NA,NA,"Not POC","White"
"But Deliver Us from Evil","2017",2.8,182,"Comedy","Not Rated","Joshua Coates","Eric Roberts",285169,1272,99541,"34.9",1272,"2018-09-01","2018-09-01","Not POC","White"
"I Do... Until I Don't","2017",4.2,1799,"Comedy","R","Lake Bell","Lake Bell",280668,265,170775,"60.8",265,"2017-01-01","2017-01-01","Not POC","White"
"Kings","2017",5,3042,"Comedy","R","Deniz Gamze Ergüven","Halle Berry",274635,331,163289,"59.5",331,"2018-03-01","2018-03-01","POC","Black"
"The Endless","2017",6.5,35271,"Comedy","Not Rated","Justin Benson","Aaron Moorhead",272020,305,9083,"3.3",305,"2018-04-01","2018-04-01","Not POC","White"
"Star Raiders: The Adventures of Saber Raine","2017",3.1,555,"Comedy","83 min","Mark Steven Grove","Casper Van Dien",260234,115,0,"0",115,"2019-03-01","2019-03-01","Not POC","White"
"Back to Burgundy","2017",6.9,4183,"Comedy","113 min","Cédric Klapisch","Pio Marmaï",257610,3,15157,"5.9",3,"2018-12-01","2018-12-01","Not POC","White"
"The King","2017",6.7,1045,"Comedy","R","Eugene Jarecki","Elvis Presley",259291,311,29050,"0",311,"2018-10-01","2018-10-01","Not POC","White"
"Black Panther","2018",7.3,637759,"Action","PG-13","Ryan Coogler","Chadwick Boseman",700059566,4084,202003951,"28.9",4084,"2018-02-01","2018-02-01","Not POC","White"
"Black Panther","2018",7.3,637759,"Action","PG-13","Ryan Coogler","Chadwick Boseman",367000,250,367000,"0",250,"","","Not POC","White"
"Avengers: Infinity War","2018",8.4,859726,"Action","PG-13","Anthony Russo","Joe Russo",678815482,4020,257698183,"38",4020,"2018-08-01","2018-08-01","Not POC","White"
"Incredibles 2","2018",7.6,254766,"Action","PG","Brad Bird","Craig T. Nelson",608581744,4474,182687905,"30",4474,"2018-04-01","2018-04-01","Not POC","White"
"Jurassic World: Fallen Kingdom","2018",6.2,270163,"Action","PG-13","J.A. Bayona","Chris Pratt",417719760,4474,148024610,"35.4",4474,"2018-09-01","2018-09-01","Not POC","White"
"Aquaman","2018",6.9,386531,"Action","PG-13","James Wan","Jason Momoa",335061807,4410,67873522,"20.3",4410,"2018-06-01","2018-06-01","Not POC","White"
"Deadpool 2","2018",7.7,489396,"Action","R","David Leitch","Ryan Reynolds",318491426,4410,125507153,"39.4",4410,"2018-12-01","2018-12-01","Not POC","White"
"The Grinch","2018",6.3,56923,"Action","PG","Yarrow Cheney","Scott Mosier",270620950,4485,67572855,"25",4485,"2018-06-01","2018-06-01","Not POC","White"
"The Grinch","2018",6.3,56923,"Action","PG","Yarrow Cheney","Scott Mosier",473781,460,82000,"0",460,"","","Not POC","White"
"Mission: Impossible - Fallout","2018",7.7,295824,"Action","PG-13","Christopher McQuarrie","Tom Cruise",220159104,4475,61236534,"27.8",4475,"2018-10-01","2018-10-01","Not POC","White"
"Ant-Man and the Wasp","2018",7,318790,"Action","PG-13","Peyton Reed","Paul Rudd",216648740,4184,75812205,"35",4184,"2018-12-01","2018-12-01","Not POC","White"
