"titles","year","imdb_rating","num_votes","genre","film_rating","director","lead_actor","gross","max_theaters","opening_gross","opening_weekend_perc","opening_theaters","open_date","close_date","Race","Race_Specific"
"Kingsman: The Golden Circle","2017",6.7,277414,"Action","R","Matthew Vaughn","Taron Egerton",100229647,3829,39023010,"38.9",3829,"2017-03-01","2017-03-01","Not POC","White"
"Blade Runner 2049","2017",8,471557,"Action","R","Denis Villeneuve","Harrison Ford",92054159,3773,32753122,"35.6",3773,"2017-11-01","2017-11-01","Not POC","White"
"John Wick: Chapter 2","2017",7.5,372644,"Action","R","Chad Stahelski","Keanu Reeves",92029184,3342,30436123,"33.1",3342,"2017-12-01","2017-12-01","Not POC","White"
"The Emoji Movie","2017",3.3,56882,"Action","PG","Tony Leondis","T.J. Miller",86089513,3006,24531923,"28.5",3006,"2017-07-01","2017-07-01","Not POC","White"
"Power Rangers","2017",5.9,102513,"Action","PG-13","Dean Israelite","Dacre Montgomery",85364450,4276,40300288,"47.2",4276,"2017-05-01","2017-05-01","Not POC","White"
"Ferdinand","2017",6.7,49713,"Action","PG","Carlos Saldanha","John Cena",84410380,4276,13401586,"15.9",4276,"2017-09-01","2017-09-01","Not POC","White"
"The Post","2017",7.2,138432,"Action","PG-13","Steven Spielberg","Meryl Streep",81903458,3846,526011,"0.6",3846,"2017-03-01","2017-03-01","Not POC","White"
"The Mummy","2017",5.4,174804,"Action","PG-13","Alex Kurtzman","Tom Cruise",80227895,3846,31688375,"39.5",3846,"2017-06-01","2017-06-01","Not POC","White"
"The Hitman's Bodyguard","2017",6.9,189622,"Action","R","Patrick Hughes","Ryan Reynolds",75468583,4256,21384504,"28.3",4256,"2017-06-01","2017-06-01","Not POC","White"
"Alien: Covenant","2017",6.4,256827,"Action","R","Ridley Scott","Michael Fassbender",74262031,4256,36160621,"48.7",4256,"2017-11-01","2017-11-01","Not POC","White"
"Captain Underpants: The First Epic Movie","2017",6.2,25251,"Action","PG","David Soren","Kevin Hart",73921000,4100,23851539,"32.3",4100,"2017-07-01","2017-07-01","POC","Black"
"A Bad Moms Christmas","2017",5.6,45576,"Action","R","Jon Lucas","Scott Moore",72110659,4022,16759161,"23.2",4022,"2017-11-01","2017-11-01","Not POC","White"
"A Dog's Purpose","2017",7.2,66339,"Action","PG","Lasse Hallström","Josh Gad",64508620,3373,18222810,"28.2",3373,"2017-01-01","2017-01-01","Not POC","White"
"The Shape of Water","2017",7.3,377392,"Action","R","Guillermo del Toro","Sally Hawkins",63859435,3038,166564,"0.3",3038,"2017-05-01","2017-05-01","Not POC","White"
"The Lego Ninjago Movie","2017",6,22834,"Action","PG","Charlie Bean","Paul Fisher",59281555,3519,20433071,"34.5",3519,"2017-11-01","2017-11-01","Not POC","White"
"Baywatch","2017",5.5,164409,"Action","R","Seth Gordon","Dwayne Johnson",58060186,3096,18503871,"31.9",3096,"2017-03-01","2017-03-01","POC","Black"
"The Shack","2017",6.3,30989,"Action","PG-13","Stuart Hazeldine","Sam Worthington",57386418,4132,16172119,"28.2",4132,"2017-06-01","2017-06-01","Not POC","White"
