titles,gross,max_theaters,opening_gross,opening_weekend_perc,opening_theaters,open_date,close_date
Jay and Silent Bob Reboot,4589490,3454,93520,2,3454,2019-11-01,2019-11-01
Pain and Glory,4567338,3448,152636,3.3,3448,2019-01-01,2019-01-01
Tolkien,4535154,2293,2200537,48.5,2293,2019-08-01,2019-08-01
The Last Black Man in San Francisco,4515719,1723,235272,5.2,1723,2019-12-01,2019-12-01
Brian Banks,4376819,1173,2156272,49.3,1173,2019-10-01,2019-10-01
The Biggest Little Farm,4366949,5,110492,2.5,5,,
Linda Ronstadt: The Sound of My Voice,4252657,2630,113235,2.7,2630,2019-02-01,2019-02-01
Uri: The Surgical Strike,4186168,2630,631146,15.1,2630,2019-04-01,2019-04-01
Replicas,4046429,1721,2375325,58.7,1721,2019-12-01,2019-12-01
Ip Man 4: The Finale,3956031,4,737718,18.6,4,,
Portrait of a Lady on Fire,3759854,3855,67344,1.8,3855,2019-11-01,2019-11-01
Ne Zha,3695533,3855,1015755,27.5,3855,2019-01-01,2019-01-01
Mission Mangal,3659413,1267,1365006,37.3,1267,2019-01-01,2019-01-01
The Oscar Nominated Short Films 2019: Documentary,3531094,1238,938455,26.6,1238,2019-02-01,2019-02-01
BTS World Tour: Love Yourself in Seoul,3509917,3230,2860016,81.5,3230,2019-05-01,2019-05-01
The Beach Bum,3502600,3230,1763070,50.3,3230,2019-06-01,2019-06-01
Echo in the Canyon,3355324,3007,117651,3.5,3007,2019-06-01,2019-06-01
Maiden,3168978,3007,46931,1.5,3007,2019-08-01,2019-08-01
Honey Boy,3012615,2998,301065,10,2998,2019-08-01,2019-08-01
Bharat,2971549,2855,1252301,42.1,2855,2019-10-01,2019-10-01
Friends 25th: The One With The Anniversary,2884827,2665,1177873,40.8,2665,2019-11-01,2019-11-01
Saaho,2872057,2665,1452102,50.6,2665,2019-01-01,2019-01-01
Kalank,2729336,3212,1276581,46.8,3212,2019-02-01,2019-02-01
Tod@s Caen,2670925,3207,1098401,41.1,3207,2019-04-01,2019-04-01
Everybody Knows,2660165,2707,71207,2.7,2707,2019-07-01,2019-07-01
The Art of Self-Defense,2410914,2707,114374,4.7,2707,,
Arctic,2410795,3380,50878,2.1,3380,2019-12-01,2019-12-01
"My People, My Country",2356683,3380,876001,37.2,3380,2019-02-01,2019-02-01
Promare,2313596,2765,109085,4.7,2765,2019-08-01,2019-08-01
Super 30,2269878,2765,871256,38.4,2765,2019-10-01,2019-10-01
Faustina: Love and Mercy,2243180,2675,0,0,2675,2019-10-01,2019-10-01
Gone with the Wind,2176120,2675,1089932,50.1,2675,2019-01-01,2019-01-01
3 from Hell,2172949,1627,0,0,1627,2019-09-01,2019-09-01
Total Dhamaal,2167632,461,989387,45.6,461,,
Housefull 4,2109160,2855,904808,42.9,2855,2019-02-01,2019-02-01
The Wizard of Oz,2076020,4,1195606,57.6,4,2019-05-01,2019-05-01
Luce,2010613,3279,132987,6.6,3279,2019-05-01,2019-05-01
Chhichhore,2004400,3267,614335,30.6,3267,2019-07-01,2019-07-01
Official Secrets,1988546,2518,64965,3.3,2518,2019-05-01,2019-05-01
Better Days,1921657,2505,989536,51.5,2505,2019-08-01,2019-08-01
Badla,1861000,3050,596446,32,3050,2019-07-01,2019-07-01
The White Crow,1828784,3050,78782,4.3,3050,2019-08-01,2019-08-01
The Other Side of Heaven 2: Fire of Faith,1807216,2502,454257,25.1,2502,2019-12-01,2019-12-01
Fantastic Fungi,1788322,2502,9419,0.5,2502,2019-02-01,2019-02-01
A Hidden Life,1730597,2883,50383,2.9,2883,2019-08-01,2019-08-01
Waves,1658790,2853,134333,8.1,2853,,
Wild Rose,1635117,2062,52938,3.2,2062,2019-10-01,2019-10-01
The Aftermath,1618497,2062,56419,3.5,2062,2019-01-01,2019-01-01
Western Stars,1581681,3303,560282,35.4,3303,2019-04-01,2019-04-01
Red Joan,1579730,3303,38949,2.5,3303,2019-05-01,2019-05-01
After the Wedding,1574258,2952,50264,3.2,2952,2019-06-01,2019-06-01
Extreme Job,1565885,2952,42587,2.7,2952,2019-08-01,2019-08-01
The Kid,1508593,1490,514286,34.1,1490,2019-08-01,2019-08-01
El Chicano,1400603,17,700261,50,17,2019-12-01,2019-12-01
National Lampoon's Christmas Vacation,1385620,3652,0,0,3652,2019-05-01,2019-05-01
