titles,gross,max_theaters,opening_gross,opening_weekend_perc,opening_theaters,open_date,close_date
Before You Know It,151507,970,23086,15.2,970,2019-08-01,2019-08-01
Jay Myself,151331,970,18909,12.5,970,2019-09-01,2019-09-01
Glory,150801,752,83347,55.3,752,2019-11-01,2019-11-01
Little Woods,150010,752,57610,38.4,752,,
Trial by Fire,148504,139,78817,53.1,139,2019-03-01,2019-03-01
War and Peace,148503,139,22976,15.5,139,2019-04-01,2019-04-01
Dogman,148225,145,13013,8.8,145,2019-05-01,2019-05-01
Halston,148063,4,11643,7.9,4,2019-07-01,2019-07-01
Invisible Life,146535,669,8127,5.5,669,2019-04-01,2019-04-01
Framing John DeLorean,145625,602,6991,4.8,602,2019-04-01,2019-04-01
Hampstead,144396,132,17141,11.9,132,2019-01-01,2019-01-01
Doctor Who: Logopolis,143248,132,0,0,132,2019-02-01,2019-02-01
Branagh Theatre Live: The Winter's Tale,141143,101,34380,24.4,101,2019-07-01,2019-07-01
Canelo vs. Kovalev,140820,4,140820,100,4,,
Wilder vs. Ortiz,139207,753,139207,100,753,2019-07-01,2019-07-01
Who Will Write Our History,138039,753,13390,9.7,753,,
Rafiki,137968,372,16016,11.6,372,2019-10-01,2019-10-01
Lynryd Skynyrd: Last of the Street Survivors Farewell Tour,137888,372,0,0,372,,
The Other Story,135191,494,14163,10.5,494,2019-08-01,2019-08-01
Okko's Inn,134787,1,763,0.6,1,,
Palau the Movie,134696,37,0,0,37,2019-07-01,2019-07-01
Made in Abyss: Journey's Dawn,134047,28,0,0,28,,
Peppa Celebrates Chinese New Year,131225,78,66913,51,78,2019-06-01,2019-06-01
Mister America,130897,4,10090,7.7,4,,
The Zoya Factor,128831,492,79517,61.7,492,2019-06-01,2019-06-01
Woodstock,126562,455,0,0,455,2019-06-01,2019-06-01
Paris Is Burning,125677,488,10839,8.6,488,2019-07-01,2019-07-01
Lost & Found,125173,16,0,0,16,,
Mary Magdalene,124741,130,46646,37.4,130,2019-12-01,2019-12-01
Downtown 81,123387,130,25208,20.4,130,,
Easy Rider,123276,748,74448,60.4,748,2019-04-01,2019-04-01
The Kingmaker,122587,748,19523,15.9,748,2019-04-01,2019-04-01
A Tuba to Cuba,121772,0,11270,9.3,0,2019-05-01,2019-05-01
Citizen K,120411,0,10571,8.8,0,,
Avant qu'on explose,119894,689,28402,23.7,689,2019-05-01,2019-05-01
"Ruben Brandt, Collector",117963,689,6036,5.1,689,2019-05-01,2019-05-01
The Reports on Sarah and Saleem,117479,66,10102,8.6,66,2019-03-01,2019-03-01
Be Natural: The Untold Story of Alice Guy-Blaché,115804,5,3237,2.8,5,2019-06-01,2019-06-01
Mob Psycho 100,115766,682,115766,100,682,2019-10-01,2019-10-01
The Woman Who Loves Giraffes,113858,682,1810,1.6,682,,
Police Story,113164,3,25591,22.6,3,2019-12-01,2019-12-01
Babylon,109749,0,21214,19.3,0,,
The Audience,106529,217,0,0,217,2019-03-01,2019-03-01
The Brink,106057,5,18063,17,5,2019-04-01,2019-04-01
"Belle and Sebastian, Friends for Life",105890,72,38017,35.9,72,2019-03-01,2019-03-01
Cold Case Hammarskjöld,104965,2,18285,17.4,2,2019-06-01,2019-06-01
Anthropocene: The Human Epoch,104806,56,16038,15.3,56,2019-07-01,2019-07-01
Miss & Mrs. Cops,104578,2,15073,14.4,2,,
Penguin Highway,104567,783,22833,21.8,783,2019-05-01,2019-05-01
The Divine Fury,102982,0,43863,42.6,0,2019-05-01,2019-05-01
Walking on Water,102140,0,10654,10.4,0,2019-11-01,2019-11-01
Mojin: The Worm Valley,101516,0,50583,49.8,0,,
Wonders of the Sea,100780,190,0,0,190,2019-05-01,2019-05-01
Tazza: One-Eyed Jack,97655,190,41139,42.1,190,2019-05-01,2019-05-01
A Bigger Splash,95826,252,18000,18.8,252,2019-05-01,2019-05-01
Rojo,94757,252,12479,13.2,252,2019-06-01,2019-06-01
The Image Book,94153,896,13854,14.7,896,2019-03-01,2019-03-01
Margaret Atwood: Live in Cinemas,93690,855,0,0,855,2019-03-01,2019-03-01
Always Miss You,91884,634,46720,50.8,634,2019-08-01,2019-08-01
Mapplethorpe,91002,0,17000,18.7,0,,
The Crossing,90896,405,40243,44.3,405,2019-02-01,2019-02-01
Loopers: The Caddie's Long Walk,90679,59,28253,31.2,59,2019-03-01,2019-03-01
My Dear Liar,90545,610,36787,40.6,610,2019-09-01,2019-09-01
Sound! Euphonium the Movie - Our Promise: A Brand New Day,90341,0,0,0,0,,
Ramen Shop,88455,67,5303,6,67,2019-07-01,2019-07-01
The Lumber Baron,88336,4,15059,17,4,,
Jim Allison: Breakthrough,87984,40,8679,9.9,40,2019-03-01,2019-03-01
ECCO,86858,26,48205,55.5,26,2019-04-01,2019-04-01
Sonchiriya,86765,47,60170,69.3,47,2019-10-01,2019-10-01
The Chambermaid,86422,47,5490,6.4,47,,
National Theater Live: Cyrano de Bergerac,86300,66,0,0,66,2019-09-01,2019-09-01
Mayday Life,85912,4,47769,55.6,4,,
Skid Row Marathon,84997,89,84997,0,89,2019-05-01,2019-05-01
The Third Wife,84933,2,3339,3.9,2,2019-07-01,2019-07-01
Papi Chulo,84703,388,7257,8.6,388,2019-11-01,2019-11-01
Woodstock,84440,276,8150,0,276,,
Looking Up,84267,42,36541,43.4,42,2019-08-01,2019-08-01
High Strung Free Dance,83891,18,54601,65.1,18,,
Ms. Purple,80657,194,15734,19.5,194,2019-10-01,2019-10-01
Saint Judy,78935,194,39275,49.8,194,,
Christ Stopped at Eboli,78736,0,9006,11.4,0,2019-03-01,2019-03-01
The Heiresses,78473,0,11304,14.4,0,,
Ploey,77815,650,0,0,650,2019-02-01,2019-02-01
A Faithful Man,77491,650,7321,9.4,650,2019-02-01,2019-02-01
Fast Color,76916,31,37594,48.9,31,2019-08-01,2019-08-01
Triple Threat,76289,1,5936,7.8,1,,
Savage,74491,497,36590,49.1,497,2019-10-01,2019-10-01
5B,72968,396,38314,52.5,396,,
Cliffs of Freedom,72476,727,16350,22.6,727,2019-07-01,2019-07-01
3 Faces,72324,0,7065,9.8,0,2019-07-01,2019-07-01
Edie,71790,54,8801,12.3,54,2019-07-01,2019-07-01
Storm Boy,71760,54,46676,65,54,2019-08-01,2019-08-01
Free Trip to Egypt,71087,625,0,0,625,2019-01-01,2019-01-01
The Battle of Jangsari,70853,440,8552,12.1,440,2019-02-01,2019-02-01
Styx,70794,128,3420,4.8,128,2019-03-01,2019-03-01
Batman Returns,70642,2,0,0,2,2019-07-01,2019-07-01
Diamantino,70088,27,6412,0,27,2019-03-01,2019-03-01
The Body,68196,14,45996,67.4,14,2019-04-01,2019-04-01
The Silence of Others,67986,668,7868,11.6,668,2019-03-01,2019-03-01
The Divine Move 2: The Wrathful,67578,668,12269,18.2,668,2019-03-01,2019-03-01
Being Frank,67343,205,16392,24.3,205,2019-07-01,2019-07-01
By the Grace of God,67059,205,7765,11.6,205,,
End of the Century,66309,263,10063,15.2,263,2019-04-01,2019-04-01
This Changes Everything,64988,263,0,0,263,,
Working Woman,64048,652,3875,6.1,652,2019-02-01,2019-02-01
Last Year at Marienbad,63425,652,7644,12.1,652,,
The Cave,62625,0,21185,33.8,0,2019-09-01,2019-09-01
Sauvage / Wild,61604,0,7440,12.1,0,,
The Mountain,61035,77,15785,25.9,77,2019-08-01,2019-08-01
John Fogerty: 50 Year Trip - Live at Red Rocks,59795,7,0,0,7,,
Mickey and the Bear,57188,121,9375,16.4,121,2019-11-01,2019-11-01
Recorder: The Marion Stokes Project,55632,29,8216,14.8,29,,
Heavy Water,55446,513,0,0,513,2019-08-01,2019-08-01
Making Waves: The Art of Cinematic Sound,53144,0,12348,23.2,0,,
Plácido Domingo Gala,52502,30,52502,100,30,2019-06-01,2019-06-01
One Cut of the Dead,52406,16,6360,12.1,16,,
QT8: The First Eight,51896,503,0,0,503,2019-08-01,2019-08-01
American Dharma,51891,4,7287,14,4,,
Greener Grass,51456,490,9305,18.1,490,2019-05-01,2019-05-01
Sympathy for the Devil,51150,479,12144,23.7,479,,
The White Sheik,50850,53,5562,10.9,53,2019-05-01,2019-05-01
Ophelia,50722,4,22145,43.7,4,,
Clinton Road,50400,24,38880,77.1,24,2019-04-01,2019-04-01
"Love, Antosha",50168,3,7150,0,3,2019-10-01,2019-10-01
Free Trip to Egypt,49693,31,1718,3.5,31,2019-05-01,2019-05-01
The Bounty Killer,48815,1,20805,42.6,1,,
The Queen,47818,78,7173,15,78,2019-04-01,2019-04-01
Under the Silver Lake,46083,3,35270,76.5,3,2019-07-01,2019-07-01
¡He matado a mi marido!,45777,642,18365,40.1,642,2019-06-01,2019-06-01
High on the Hog,45696,642,15125,33.1,642,,
The Proposal,45149,97,10449,23.1,97,2019-02-01,2019-02-01
What Is Democracy?,44536,2,6284,14.1,2,2019-04-01,2019-04-01
Maze,44381,37,8308,18.7,37,2019-08-01,2019-08-01
Carmine Street Guitars,44253,11,6090,13.8,11,,
For Sama,43796,745,9350,0,745,2019-07-01,2019-07-01
The Star,43510,0,43510,100,0,2019-07-01,2019-07-01
Fagara,43417,751,25206,58.1,751,2019-05-01,2019-05-01
Immortal Hero,43007,0,20629,48,0,2019-05-01,2019-05-01
Vita & Virginia,42741,81,3408,8,81,2019-08-01,2019-08-01
Midnight Family,42310,81,3030,7.2,81,,
Union,41656,102,11900,28.6,102,2019-09-01,2019-09-01
Midnight Traveler,41265,102,3549,8.6,102,,
Charlie Says,40685,447,20684,50.8,447,2019-10-01,2019-10-01
Slut in a Good Way,40513,0,21567,53.2,0,,
Aniara,40124,44,19297,48.1,44,2019-03-01,2019-03-01
The Raft,39678,36,0,0,36,2019-07-01,2019-07-01
Zilla and Zoe,39003,28,11392,29.2,28,2019-11-01,2019-11-01
Shed of the Dead,38901,1,18960,48.7,1,,
Batman Forever,38014,661,38014,100,661,2019-09-01,2019-09-01
The Quiet One,37010,661,7695,20.8,661,,
The Death of Dick Long,36856,103,26630,72.3,103,2019-02-01,2019-02-01
Britt-Marie Was Here,36549,1,4090,0,1,,
The Sower,36233,19,4128,11.4,19,2019-08-01,2019-08-01
Buñuel in the Labyrinth of the Turtles,36205,2,5691,15.7,2,,
Yardie,36012,175,22056,61.2,175,2019-12-01,2019-12-01
Kind Hearts and Coronets,35948,175,8004,22.3,175,,
Loro,35613,488,5317,14.9,488,2019-12-01,2019-12-01
Ága,35178,392,2553,7.3,392,,
White Snake,34730,789,2791,8,789,2019-11-01,2019-11-01
Balloon,34222,0,0,0,0,,
Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,34135,284,0,0,284,2019-12-01,2019-12-01
The Wild Pear Tree,34014,0,4923,14.5,0,,
Killer Unicorn,33901,708,15515,45.8,708,2019-03-01,2019-03-01
Moonlight Sonata: Deafness in Three Movements,33823,708,5424,16,708,2019-04-01,2019-04-01
Redoubt,33155,696,5253,15.8,696,2019-04-01,2019-04-01
An Elephant Sitting Still,32556,4,10854,33.3,4,2019-04-01,2019-04-01
Knife + Heart,32516,104,4728,14.5,104,2019-05-01,2019-05-01
An Acceptable Loss,32427,104,3447,10.6,104,,
10E,32413,160,28863,89,160,2019-12-01,2019-12-01
Desolation Center,32016,160,4938,15.4,160,2019-01-01,2019-01-01
Gift,31588,67,4255,13.5,67,2019-04-01,2019-04-01
The Cat Rescuers,31540,3,4252,13.5,3,2019-06-01,2019-06-01
Memory: The Origins of Alien,31378,116,14704,46.9,116,2019-11-01,2019-11-01
Buddy,31203,116,0,0,116,,
Pasolini,30757,49,8362,27.2,49,2019-03-01,2019-03-01
Sorry Angel,30628,7,6559,21.4,7,2019-08-01,2019-08-01
Los Reyes,30418,649,5661,18.6,649,2019-04-01,2019-04-01
The Nun,30245,649,6273,20.7,649,2019-04-01,2019-04-01
Lionel Richie at Glastonbury,30123,515,0,0,515,2019-03-01,2019-03-01
The Perfect Race,29644,0,3400,11.5,0,2019-03-01,2019-03-01
Vault,29491,702,0,0,702,2019-05-01,2019-05-01
The Ground Beneath My Feet,29251,0,3295,11.3,0,2019-05-01,2019-05-01
Batman & Robin,28597,722,0,0,722,2019-10-01,2019-10-01
The Load,28410,0,4094,14.4,0,,
In the Aisles,28394,19,922,3.2,19,2019-01-01,2019-01-01
Hotel by the River,28354,4,5534,19.5,4,2019-05-01,2019-05-01
The Wind,28252,50,14138,50,50,2019-09-01,2019-09-01
El Norte,27920,5,27920,100,5,,
"Leaving Home, Coming Home: A Portrait of Robert Frank",27073,679,4248,15.7,679,2019-12-01,2019-12-01
The Day Shall Come,26972,679,14854,55.1,679,,
Wrestle,26597,669,6027,22.7,669,2019-08-01,2019-08-01
Donnybrook,26284,669,9802,37.3,669,,
Asako I & II,25559,79,5690,22.3,79,2019-08-01,2019-08-01
The Final Wish,25183,2,0,0,2,,
The Disappearance of My Mother,24951,312,0,0,312,2019-04-01,2019-04-01
Light from Light,24808,312,4719,19,312,2019-05-01,2019-05-01
Hyenas,24672,756,0,0,756,2019-04-01,2019-04-01
Chasing Einstein,24057,0,9708,40.4,0,2019-07-01,2019-07-01
Tremors,23911,96,3340,14,96,2019-03-01,2019-03-01
Little Joe,23862,4,10626,44.5,4,2019-04-01,2019-04-01
Piranhas,23494,750,2898,12.3,750,2019-09-01,2019-09-01
Celebration,22557,741,5034,22.3,741,,
Wicked Witches,21600,795,21600,100,795,2019-05-01,2019-05-01
The Hole in the Ground,21072,0,0,0,0,2019-05-01,2019-05-01
Round of Your Life,20941,346,4336,20.7,346,2019-07-01,2019-07-01
The All Americans,20324,83,7805,38.4,83,,
Light of My Life,20056,53,9358,46.7,53,2019-10-01,2019-10-01
General Magic,20046,50,2267,11.3,50,,
The Gospel of Eureka,20039,18,3517,17.6,18,2019-12-01,2019-12-01
The Sound of Silence,20013,2,5449,27.2,2,,
Prassthanam,19984,232,12737,63.7,232,2019-03-01,2019-03-01
Leo Da Vinci: Mission Mona Lisa,19978,4,19978,0,4,2019-04-01,2019-04-01
Armstrong,19740,546,3071,15.6,546,2019-10-01,2019-10-01
Girls of the Sun,19712,546,7801,39.6,546,,
Out of Blue,18779,127,11719,62.4,127,2019-12-01,2019-12-01
Black Mother,18762,2,0,0,2,,
Scandalous: The True Story of the National Enquirer,18759,669,10837,57.8,669,2019-09-01,2019-09-01
Before Stonewall,18724,669,4588,24.5,669,,
The Return of Martin Guerre,18603,207,8682,46.7,207,2019-05-01,2019-05-01
Midnight Diner,18555,4,10861,58.5,4,2019-06-01,2019-06-01
"Phoenix, Oregon",18356,18,2981,16.2,18,2019-02-01,2019-02-01
The Cranes Are Flying,17923,0,0,0,0,,
Chained for Life,17431,627,7415,42.5,627,2019-09-01,2019-09-01
Ode to Joy,17303,627,3568,20.6,627,,
Bauhaus Spirit: 100 Years of Bauhaus,17122,123,0,0,123,2019-05-01,2019-05-01
Joseph Pulitzer: Voice of the People,16970,13,5686,33.5,13,2019-06-01,2019-06-01
Too Late to Die Young,16591,64,6196,37.3,64,2019-03-01,2019-03-01
Three Peaks,16216,3,1419,8.8,3,2019-05-01,2019-05-01
Virginia Minnesota,16118,581,3844,23.8,581,2019-01-01,2019-01-01
Piercing,15856,0,8752,55.2,0,,
Starfish,15849,288,0,0,288,2019-03-01,2019-03-01
Trinity Seven The Movie 2: Heavens Library & Crimson Lord,15712,288,14853,94.5,288,2019-03-01,2019-03-01
The Competition,15622,30,0,0,30,2019-04-01,2019-04-01
Stuffed,15532,30,1602,10.3,30,2019-05-01,2019-05-01
Between the Lines,15383,399,0,0,399,2019-11-01,2019-11-01
Funan,15152,0,1871,12.3,0,,
Wrinkles the Clown,14938,78,28248,189.1,78,2019-07-01,2019-07-01
ZZ Top: That Little Ol' Band from Texas,14879,2,0,0,2,,
Our Time,14777,231,3000,0,231,2019-10-01,2019-10-01
My Son,14450,37,4750,32.9,37,2019-10-01,2019-10-01
Combat Obscura,14242,781,10112,71,781,2019-09-01,2019-09-01
Screwball,13967,0,8595,61.5,0,,
Touch Me Not,13782,390,5616,40.7,390,2019-02-01,2019-02-01
This One's for the Ladies,13688,0,13688,100,0,2019-03-01,2019-03-01
Rapid Response,13294,355,4497,33.8,355,2019-03-01,2019-03-01
Hagazussa,13253,355,6041,45.6,355,,
Duet for Cannibals,12962,684,0,0,684,2019-11-01,2019-11-01
Off Season,12544,684,2536,20.2,684,,
Bricked,12201,69,0,0,69,2019-08-01,2019-08-01
Zen for Nothing,12107,5,1268,10.5,5,,
Imprisoned,12050,81,4381,36.4,81,2019-09-01,2019-09-01
Quartet,12042,0,5150,42.8,0,2019-09-01,2019-09-01
"Cassandro, The Exotico!",11897,401,2269,19.1,401,2019-12-01,2019-12-01
Hollywould,11888,401,5290,44.5,401,,
Yomeddine,11308,110,4013,35.5,110,2019-05-01,2019-05-01
I Do Not Care If We Go Down in History as Barbarians,11307,104,2083,18.4,104,2019-07-01,2019-07-01
In Like Flynn,11255,17,6646,59,17,2019-08-01,2019-08-01
Made Me Do It,11151,17,3842,34.5,17,,
Ferrante Fever,11137,70,3509,31.5,70,2019-03-01,2019-03-01
Suburban Birds,10997,70,3207,29.2,70,2019-04-01,2019-04-01
16 Bars,10985,685,2662,24.2,685,2019-08-01,2019-08-01
If the Dancer Dances,10912,0,5000,0,0,,
Shooting the Mafia,10881,122,3251,29.9,122,2019-04-01,2019-04-01
Vision Portraits,10771,0,0,0,0,2019-05-01,2019-05-01
Daughter of Mine,10628,681,5447,51.3,681,2019-11-01,2019-11-01
Intuitions,10606,681,3407,32.1,681,,
I'll Take Your Dead,10523,322,1963,18.7,322,2019-08-01,2019-08-01
The Eyes of Orson Welles,10253,322,2372,23.1,322,2019-10-01,2019-10-01
Olivia,9934,150,3948,39.7,150,2019-08-01,2019-08-01
Streetwise,9904,150,5006,50.5,150,2019-09-01,2019-09-01
The Spanish Prisoner,9589,518,2679,27.9,518,2019-05-01,2019-05-01
Fritz Lang's Indian Epic,9345,0,4401,47.1,0,2019-05-01,2019-05-01
When Lambs Become Lions,9337,382,3155,0,382,2019-04-01,2019-04-01
The Aspern Papers,9277,0,9277,0,0,2019-04-01,2019-04-01
Cracked Up,9197,39,5310,57.7,39,2019-07-01,2019-07-01
The Hottest August,9163,3,3883,42.4,3,,
Frantz Fanon: Black Skin White Mask,9025,133,3278,36.3,133,2019-12-01,2019-12-01
The Meanest Man in Texas,8850,133,5750,65,133,,
That Part Feeling - the Universe of Arvo Part,8812,668,0,0,668,2019-04-01,2019-04-01
The Dead Center,8320,0,5325,64,0,,
The Etruscan Smile,8213,427,6729,81.9,427,2019-02-01,2019-02-01
Line of Duty,8207,397,4034,49.2,397,2019-02-01,2019-02-01
Grass,8084,111,2774,34.3,111,2019-09-01,2019-09-01
Angels Are Made Of Light,7919,111,1707,21.6,111,,
This Magnificent Cake!,7888,614,991,12.6,614,2019-05-01,2019-05-01
Ghost Fleet,7850,614,0,0,614,,
The Plagiarists,7768,737,4577,58.9,737,2019-12-01,2019-12-01
Gregory's Girl,7710,0,4185,54.3,0,,
King of Thieves,7518,500,3502,46.6,500,2019-11-01,2019-11-01
Beloved Beast,7301,398,3894,53.3,398,,
Rosie,6839,614,2942,43,614,2019-07-01,2019-07-01
Genesis,6784,0,2585,38.1,0,2019-07-01,2019-07-01
Going Attractions: The Definitive Story of the Movie Palace,6763,36,803,11.9,36,2019-08-01,2019-08-01
Dying to Survive,6752,2,3238,48,2,2019-09-01,2019-09-01
"One Nation, One King",6576,494,595,9,494,2019-11-01,2019-11-01
Spiral Farm,6517,0,5475,0,0,,
Under the Eiffel Tower,6291,784,3957,62.9,784,2019-10-01,2019-10-01
Patrick the Pug,6290,0,1378,21.9,0,,
To Be of Service,6173,36,1904,30.8,36,2019-09-01,2019-09-01
The Golden Glove,6160,35,2300,37.3,35,,
Relaxer,6133,23,0,0,23,2019-12-01,2019-12-01
Blood Widow,6047,4,0,0,4,,
Love Goes Public,5738,665,5700,99.3,665,2019-06-01,2019-06-01
Série noire,5633,0,2088,37.1,0,2019-06-01,2019-06-01
The Miracle of the Little Prince,5553,449,2643,47.6,449,2019-02-01,2019-02-01
Chokehold,5200,0,5200,100,0,2019-02-01,2019-02-01
The Gliksmans,5166,69,2922,56.6,69,2019-04-01,2019-04-01
100 Acres of Hell,5152,3,997,19.4,3,2019-05-01,2019-05-01
Body at Brighton Rock,5123,11,1732,33.8,11,2019-01-01,2019-01-01
Cold Blood,5083,0,3450,67.9,0,,
Chulas Fronteras,5021,75,3548,70.7,75,2019-02-01,2019-02-01
The Garden,5006,4,1141,22.8,4,2019-03-01,2019-03-01
Malek,4898,660,2226,45.4,660,2019-12-01,2019-12-01
Crepitus,4846,660,1790,36.9,660,,
Ballet Blanc,4832,40,1894,39.2,40,2019-07-01,2019-07-01
What You Gonna Do When the World's on Fire?,4672,37,0,0,37,2019-07-01,2019-07-01
Slaughterhouse Rulez,4665,73,2145,46,73,2019-01-01,2019-01-01
At War,4605,73,1405,30.5,73,2019-02-01,2019-02-01
I'm Leaving Now,4488,42,1255,28,42,2019-05-01,2019-05-01
SGT. Will Gardner,4405,2,0,0,2,,
Tito and the Birds,4332,677,0,0,677,2019-11-01,2019-11-01
The Fate of Lee Khan,4295,0,1648,38.4,0,,
State Like Sleep,4282,745,2813,65.7,745,2019-08-01,2019-08-01
Chinese Portrait,4140,0,546,13.2,0,,
La Flor,4032,766,2308,57.2,766,2019-11-01,2019-11-01
Mother of a Day,3919,766,2672,68.2,766,,
Crown Vic,3868,18,2468,63.8,18,2019-08-01,2019-08-01
Wallflower,3801,3,2378,62.6,3,,
The Wandering Soap Opera,3624,239,512,14.1,239,2019-03-01,2019-03-01
Rottentail,3383,0,2256,66.7,0,,
Another Day of Life,3190,117,1691,53,117,2019-06-01,2019-06-01
Chasing Portraits,3076,117,1708,55.5,117,2019-07-01,2019-07-01
The Kindness of Strangers,2705,101,839,31,101,2019-04-01,2019-04-01
Back to the Fatherland,2697,101,1312,48.6,101,2019-04-01,2019-04-01
Joan the Maid 1: The Battles,2562,239,1229,48,239,2019-09-01,2019-09-01
TINY: The Life of Erin Blackwell,2465,239,1631,66.2,239,,
I Lost Albert,2354,426,2354,100,426,2019-05-01,2019-05-01
A German Youth,2343,426,416,17.8,426,2019-05-01,2019-05-01
Serendipity,2298,29,1156,50.3,29,2019-04-01,2019-04-01
Iceman,2138,23,1372,64.2,23,2019-07-01,2019-07-01
Jihadists,2104,512,824,39.2,512,2019-08-01,2019-08-01
A Fish in the Bathtub,1826,0,1237,67.7,0,2019-01-01,2019-01-01
In Safe Hands,1737,194,348,20,194,2019-07-01,2019-07-01
Division 19,1699,194,0,0,194,2019-07-01,2019-07-01
Little Q,1652,556,1652,100,556,2019-11-01,2019-11-01
Game Day,1624,0,1624,100,0,,
American Playhouse: The Killing Floor,1583,40,1583,100,40,2019-09-01,2019-09-01
The Hours and Times,1273,2,1273,100,2,,
The Untold Story,790,21,790,100,21,2019-06-01,2019-06-01
Tall Tales from the Magical Garden of Antoon Krings,220,21,0,0,21,,
Bad Boys for Life,206305244,3775,62504105,30.3,3775,2020-01-01,2020-01-01
Sonic the Hedgehog,148974665,3775,58018348,38.9,3775,,
Birds of Prey,84158461,4198,33010017,39.2,4198,2020-02-01,2020-02-01
Dolittle,77047065,4167,21844045,28.4,4167,,
The Invisible Man,70410000,4236,28205665,40.1,4236,2020-02-01,2020-02-01
The Call of the Wild,62342368,4236,24791624,39.8,4236,,
Onward,61555145,4155,39119861,63.6,4155,2020-01-01,2020-01-01
Tenet,57929000,4155,20200000,0,4155,,
The Croods: A New Age,56023163,3636,9724200,17.4,3636,2020-02-01,2020-02-01
Wonder Woman 1984,45560000,3610,16700000,0,3610,,
The Gentlemen,36471795,3914,10651884,29.2,3914,2020-02-01,2020-02-01
Fantasy Island,27309289,3752,12310420,45.1,3752,,
The New Mutants,23852659,4310,7037017,29.5,4310,2020-03-01,2020-03-01
Like a Boss,22169514,4310,10011272,45.2,4310,,
The Grudge,21221803,2930,11404113,53.7,2930,2020-09-01,2020-09-01
The War with Grandpa,21021845,2810,3623880,17.2,2810,,
Unhinged,20831465,2211,601032,2.9,2211,2020-11-01,2020-11-01
The Photograph,20578185,2211,12181865,59.2,2211,,
Underwater,17291078,2013,7008297,40.5,2013,2020-12-01,2020-12-01
The Turning,15472775,0,6950045,44.9,0,,
Gretel & Hansel,15347654,2675,6154007,40.1,2675,2020-01-01,2020-01-01
Monster Hunter,14973906,2165,2201269,14.7,2165,,
Honest Thief,14163574,2784,0,0,2784,2020-02-01,2020-02-01
The Way Back,13590514,2784,8170315,60.1,2784,,
My Hero Academia: Heroes Rising,13304000,2754,5891252,44.3,2754,2020-08-01,2020-08-01
Brahms: The Boy II,12611536,2412,5823006,46.2,2412,,
News of the World,12564530,3081,2250430,17.9,3081,2020-01-01,2020-01-01
Bloodshot,12561824,3078,9176695,73.1,3078,2020-02-01,2020-02-01
Impractical Jokers: The Movie,10691091,2642,2607049,24.4,2642,2020-01-01,2020-01-01
Come Play,10475990,2642,3119875,29.8,2642,2020-02-01,2020-02-01
Emma.,10055355,2365,234482,2.3,2365,2020-10-01,2020-10-01
I Still Believe,9868521,2250,9103614,92.2,2250,,
Let Him Go,9358025,2402,4000470,42.7,2402,2020-08-01,2020-08-01
Freaky,9030855,299,3600355,39.9,299,,
Downhill,8287061,2516,4622018,55.8,2516,2020-02-01,2020-02-01
Weathering with You,7798743,2516,1808533,23.2,2516,,
Fatale,6306897,2791,918112,14.6,2791,2020-01-01,2020-01-01
Promising Young Woman,5975715,2791,719305,12,2791,,
The Hunt,5812500,2571,5304455,91.3,2571,2020-01-01,2020-01-01
The Rhythm Section,5437971,2571,2715384,49.9,2571,,
Hocus Pocus,4828000,3007,1925000,0,3007,2020-01-01,2020-01-01
The SpongeBob Movie: Sponge on the Run,4810790,3007,865824,18,3007,2020-03-01,2020-03-01
The Broken Hearts Gallery,4067442,1817,1126401,27.7,1817,2020-12-01,2020-12-01
Infidel,4051990,1736,1384296,34.2,1736,,
Bill & Ted Face the Music,3439660,2502,1125007,32.7,2502,2020-10-01,2020-10-01
2020 Oscar Nominated Short Films,3306611,0,1155505,34.9,0,,
The Empty Man,2992948,2718,1310326,43.8,2718,2020-03-01,2020-03-01
My Boyfriend's Meds,2971116,2718,1396140,47,2718,,
The Last Full Measure,2949212,1231,1058019,35.9,1231,2020-02-01,2020-02-01
Words on Bathroom Walls,2542518,1196,432968,17,1196,,
Star Wars: Episode V - The Empire Strikes Back,2482000,2151,611000,0,2151,2020-02-01,2020-02-01
After We Collided,2386483,2151,422899,17.7,2151,,
The Nightmare Before Christmas,2286000,1986,1323000,0,1986,2020-12-01,2020-12-01
Half Brothers,2241980,1900,700160,31.2,1900,,
The Lodge,2138907,2861,76251,3.6,2861,2020-03-01,2020-03-01
Elf,2003568,2861,170000,0,2861,,
The Personal History of David Copperfield,1876298,1900,475800,25.4,1900,2020-02-01,2020-02-01
Pinocchio,1831718,357,272109,14.9,357,,
The Wretched,1814193,2183,65908,3.6,2183,2020-10-01,2020-10-01
The Rental,1637548,2183,403852,24.7,2183,,
Jurassic Park,1386600,1732,517600,0,1732,2020-02-01,2020-02-01
2 Hearts,1349286,5,522937,38.8,5,,
Train to Busan Presents: Peninsula,1231407,3250,118647,9.6,3250,2020-03-01,2020-03-01
True to the Game 2,1200871,3250,274631,22.9,3250,,
The Assistant,1100313,2458,79141,7.2,2458,2020-11-01,2020-11-01
Love and Monsters,1070714,2454,270302,25.2,2454,,
Relic,1047083,2472,192352,18.4,2472,2020-11-01,2020-11-01
The Tax Collector,1044212,2472,309694,29.7,2472,,
The Last Shift,1034467,2311,246491,23.8,2311,2020-02-01,2020-02-01
Becky,1004574,2301,209394,20.8,2301,,
All My Life,913935,1020,370315,40.5,1020,2020-01-01,2020-01-01
Mafia Inc,889863,486,264939,29.8,486,,
